Prefix,Code,Type,Line,Station
0100,00193431,地铁,2号线,南浦
0100,00193432,地铁,2号线,会江
0100,00193433,地铁,2号线,会江
0100,00193434,地铁,2号线,会江
0100,00193435,地铁,2号线,会江
0100,00193436,地铁,2号线,广州南站
0100,00193437,地铁,2号线,广州南站
0100,00193438,地铁,2号线,广州南站
0100,00193439,地铁,2号线,广州南站
0100,00193440,地铁,2号线,会江
0100,00193441,地铁,2号线,会江
0100,00193442,地铁,2号线,会江
0100,00193443,地铁,2号线,会江
0100,00193444,地铁,2号线,会江
0100,00193445,地铁,2号线,会江
0100,00193446,地铁,2号线,会江
0100,00193447,地铁,2号线,会江
0100,00193448,地铁,2号线,石壁
0100,00193449,地铁,2号线,石壁
0100,00193450,地铁,2号线,石壁
0100,00193451,地铁,2号线,石壁
0100,00193452,地铁,2号线,石壁
0100,00193453,地铁,2号线,石壁
0100,00193454,地铁,2号线,石壁
0100,00193455,地铁,2号线,石壁
0100,00193456,地铁,2号线,广州南站
0100,00193457,地铁,2号线,广州南站
0100,00193458,地铁,2号线,广州南站
